Book_ID (Primary Key),Title,Author's First Name,Author's Last Name,ISBN-10,Genre,Pages,Year,Lexile,Rating,Publisher,,,,,,,,,,,,,,,,,
42,The House on Mango Street,Sandra,Cisneros,1432865056,Novel,110,1983,870,3.7,Vintage Books,,,,,,,,,,,,,,,,,
43,The Lady of the Camellias,Alexandre,Dumas,1546622047,Tragedy,154,1848,None,4,Simon & Schuster,,,,,,,,,,,,,,,,,
44,The Wealth of Nations,Adam,Smith,‎1604598913,Non-fiction,524,1776,1500,4.6,W.Strahan and T. Cadell,,,,,,,,,,,,,,,,,
45,Animal Farm,George,Orwell,452284244,Political satire,140,1945,1170,4.6,Secker and Warburg,,,,,,,,,,,,,,,,,
46,Pride and Prejudice,Jane,Austen,1947215132,Novel,273,1813,1190,4.7,T.Egerton,,,,,,,,,,,,,,,,,
47,To Kill a Mockingbird,Harper,Lee,812416805,Novel,281,1960,790,4.7,J.B.Lippincott & Co.,,,,,,,,,,,,,,,,,
48,To Kill a Mockingbird,Harper,Lee,812416805,Novel,281,1960,790,4.7,J.B.Lippincott & Co.,,,,,,,,,,,,,,,,,
49,Under the Dome,Brian ,Vaughan ,1439148503,Post-apocalyptic fiction,1074,2009,None,4.4,Scribner,,,,,,,,,,,,,,,,,
50,The Boys in the Boat,Daniel ,Brown,1410459543,Narrative non-fiction,404,2013,1000,4.6,Penguin Books,,,,,,,,,,,,,,,,,
51,The Boys in the Boat,Daniel ,Brown,1410459543,Narrative non-fiction,404,2013,1000,4.6,Penguin Books,,,,,,,,,,,,,,,,,
52,The Boys in the Boat,Daniel ,Brown,1410459543,Narrative non-fiction,404,2013,1000,4.6,Penguin Books,,,,,,,,,,,,,,,,,
53,The Boys in the Boat,Daniel ,Brown,1410459543,Narrative non-fiction,404,2013,1000,4.6,Penguin Books,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
